title,review,First violation,Second violation,Third violation
The only thing this app does is enable abusive parents.,"This app has no function except tracking people. And while that seems fun and dandy, the first thing someone like say, a kidnapper, or robber, is going to do upon committing a crime, would be to turn off or leave the victims phone behind. So, “saving a life” disproved, the only thing this app does is give controlling, abusive, horrible parents and significant others even more control over their child, spouse, or significant other. “Make sure your kids are where they say they are!” I turn this app off for three seconds and every good thing in my life is threatened. So thanks life 360, for enabling abusers. I hope you know that your on teenagers and girl’s watch lists for “DO NOT DOWNLOAD”",Honesty,Power,Free will
Parents:,"why are you looking to track your kids? unless your kids have proven to be untrustworthy in the past, don't even download this. put a huge crack in my relationship with my parents and i'm not even the type of kid that needs to hide stuff. it's extremely overbearing and intrusive to track your child all the way down to how hard they brake when they're driving. kids have to make their own mistakes and live their lives, no app is going to stop that. the kids who actually deserved to be tracked are going to find a way to do what they want regardless (it's possible even w this app). also, the app is not always reliable so instead of using this, another option would be building a relationship and trust with your kid instead of making them feel like you're a probation officer. the app does however have just about every feature imaginable for being an overbearing, intrusive parent so if pushing your kids away and smothering them is your style, this will work about 60% of the time until your kid outsmarts it. enjoy!",Free will,Honesty,Cognition
Terrible App,"Life360 is such a terrible thing for unaware parents to use. Most parents think teens don’t need privacy and they constantly need to know where they are and what they’re doing and who they’re with at all times. This may make the parent feel at peace but what about the child? It’s selfish of parents to not take into consideration of how the teen may feel about always having this app and the parent giving them a very stalkish feeling, it’s very uncomfortable. It also effects the growth and decision making abilities your teen will need in the adult world. It creates total neuroses in kids and encourages and teaches them how to be sneaky which can be even more dangerous. You want to talk about safety concern? That’s what find my phone is for. You want to build a good, trusting and open relationship with your child? Maybe let them have a little bit of time without you always having a watchful eye on them. This app does not help, rather ruins teens social lives, and creates bad parent-child relationships.",Free will,Visibility,Honesty
Horrible app creates a lack of trust,This app only goes to show how little trust parents put in their children. Being able to see their every move and read their messages among other things is a complete invasion of privacy. Children feel trapped and untrusted and it creates an unhealthy relationship between a child and their parent. Overall a horrible idea for an app.,Power,Free will,Visibility
i hate this app,"my parents downloading this one my phone with out telling me for 3 months( i know, probably illegal) this app is creepy, and encouraging over protective parenting. i leave my phone at school or at my house when i’m at places i “shouldn’t be” and am actually putting my self in more danger, and I DONT CARE.",Power,Free will,Visibility
this app is a mess,"okay it works well but it literally is breaking families. my mom tracks my every move now and since we got the app we have had way more issues than before. if you are a parent, hear it from a kid. it’s wrong to cut off all privacy of your kid and selfishly claim that it’s because you are worried. this app scares me and actually keeps me up at night. IF YOU CARE ABOUT HOW YOUR KID FEELS ABOUT YOU DO NOT MAKE THEM DOWNLOAD THIS",Visibility,Free will,Power
Thank you so much for creating this app.,This app just lets overprotective parents control their kids even more. When our parents were kids they definitely did not get tracked no kid in the entire world was tracked unless now so why had it become a new norm. It’s annoying and pointless and let a teenager be a teenager.,Free will,Power,Cognition
Pathetic,"Hi I am a teenager who's parents recently thought it would be a great idea to put a tracking device on my phone. My siblings and I are utterly disgusted. This is a pathetic app for parents who have no trust in their children and if you're a parent looking to get this app, let me just tell you that your kids will never forgive you. It doesn't matter who you are this is an invasion of privacy and if you think this is &#34;incase of emergencies&#34; you have to realize that you cant protect your kids from everything. And in the end would you rather be overprotective and have your children hate you or simply sit down and talk to your kids like freaking normal people.",Free will,Power,Visibility
crazy,"this app is great if you’re a mom who doesn’t give freedom to your kids, who should have been raised well enough in the first time place be responsible and alert in times of need or danger. This app is an excuse to stalk and make people uncomfortable when in their daily life. This app will not notify anyone if I get murdered or kidnapped it will only get me in trouble if i am speeding or in a place i shouldn’t be. Have fun psychotic parents, i’m glad you’re this bored :*",Free will,Power,Honesty
"please, please, read before purchasing","I understand that this app was originally created for safety reasons and I also understand its usefulness as a way of keeping track of mentally handicapped people at high risk. However, it’s use as a tracker for overprotective parents towards their teens is an invasion of privacy. I feel like I’ve been inserted into an episode of Black Mirror. Parents claim the app builds trust and keeps their children from doing reckless teenage things, but it really does the opposite. There is no reason for a parent to need to track their child’s every move. Teen years are for learning right from wrong and what gets you far in life vs what doesn’t. Helicopter parenting does nothing but teach your child 1) you have no trust in them to make decisions for themselves 2) ways for them to get around the app 3) that even family cannot be trusted. Making your children download this app will do nothing but tear apart the relationships you have with your children. If for some reason you feel that you cannot trust your child, that is something that needs to be dealt with over a civil, two-sided discussion, not an overbearing app. They are almost adults, whether you choose to acknowledge it or not, and you need to treat them as such. They may make mistakes, but that is part of becoming an adult. Your “peace of mind” is not worth them missing the experiences of high school and/or college. If there is ever a serious problem, your child has a phone with emergency contact info for a reason. Emergency contacts can be accessed whether the phone is locked or not, along with medical information should your child not be able to communicate it themselves. If your child was really in distress, you would find out almost immediately from other sources. This app is unnecessary and invasive. I beg you to not force it upon your children.",Free will,Honesty,Power
Beware,This app is only good for parents who have little children and want to monitor when they get home safety. Coming from a strict middle eastern house hold my mom found out about this app and made us all download it. She is constantly checking our whereabouts and this is almost turning into the black mirror episode in real life. If you are a parent of kids 18+ please don’t make your kids download it. They will hate you and you are not doing a good job parenting.,Power,Free will,Statutes
